question,top_retrieved_chunk,top_2_retrieved_chunk,top_3_retrieved_chunk
ما هي عقوبة عدم توفير مكان للصلاة في المصنع؟,المادة السادسة والأربعون بعد المائة : يلزم صاحب العمل وعلى نفقته بالنسبة لمن يؤدي عملًا في الأماكن البعيدة عن العمران بكل ما يأتي أو بعضه وفقًا لما يحدده الوزير 1 - توفير حوانيت لبيع الطعام والملابس وغير ذلك من الحاجات الضرورية بأسعار معتدلة، وذلك في مناطق العمل التي لا تتوافر فيها عادة تلك الحوانيت. 2 - توفير وسائل ترفيه وتثقيف مناسبة وملاعب رياضية ملحقة بأماكن العمل. 3 - إجراء ما يلزم من الترتيبات الطبية المناسبة للمحافظة على صحة العمال وعلاج أسرهم علاجًا شاملًا. (ويقصد بالأسرة الزوج والأولاد والأم والأب المقيمون معه). 4 - توفير مدارس لتعليم أولاد العمال إذا لم يتوافر في المنطقة مدارس كافية. 5 - إعداد مساجد أو مصليات في أماكن العمل. 6 - إعداد برامج لمحو الأمية بين العمال. وتحدد اللائحة الأماكن البعيدة عن العمران.,المادة الثانية والعشرون بعد المائة : على كل صاحب عمل أن يتخذ الاحتياطات اللازمة لحماية العمال من الأخطار والأمراض الناجمة عن العمل، والآلات المستعملة، ووقاية العمل وسلامته، وعليه أن يعلن في مكان ظاهر في المنشأة التعليمات الخاصة بسلامة العمل والعمال، وذلك باللغة العربية وبأي لغة أخرى يفهمها العمال عند الاقتضاء، ولا يجوز لصاحب العمل أن يحمّل العمال أو يقتطع من أجورهم أي مبلغ لقاء توفير هذه الحماية.,المادة الثالثة بعد المائة : للوزير أن يحدد بقرار منه الحالات والأعمال التي يتحتم فيها استمرار العمل دون فترة راحة لأسباب فنية أو لظروف التشغيل، ويلتزم صاحب العمل في هذه الحالات والأعمال بإعطاء فترة للصلاة والطعام والراحة بطريقة تنظمها إدارة المنشأة أثناء العمل.
ما هي المدة القصوى لفترة التجربة في عقد العمل؟,"المادة الثالثة والخمسون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""إذا كان العامل خاضعاً لفترة تجربة، وجب النص على ذلك صراحة في عقد العمل، وتحديدها بوضوح، بحيث لا تزيد على تسعين يوماً. ويجوز باتفاق مكتوب بين العامل وصاحب العمل تمديد فترة التجربة، على ألا تزيد على مائة وثمانين يوماً. ولا تدخل في حساب فترة التجربة إجازة عيدي الفطر والأضحى والإجازة المرضية. ولكل من الطرفين الحق في إنهاء العقد خلال هذه الفترة ما لم يتضمن العقد نصّا يعطي الحق في الإنهاء لأحدهما"".","المادة الرابعة والخمسون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""لا يجوز وضع العامل تحت التجربة أكثر من مرة واحدة لدى صاحب عمل واحد. واستثناء من ذلك يجوز باتفاق طرفي العقد - كتابة - إخضاع العامل لفترة تجربة أخرى بشرط أن تكون في مهنة أخرى أو عمل آخر، أو أن يكون قد مضى على انتهاء علاقة العامل بصاحب العمل مدة لا تقل عن ستة أشهر. وإذا أنهي العقد خلال فترة التجربة فإن أيًّا من الطرفين لا يستحق تعويضاً، كما لا يستحق العامل مكافأة نهاية الخدمة عن ذلك"".","المادة الخامسة والخمسون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""1 - ينتهي عقد العمل المحدد المدة بانقضاء مدته، فإذا استمر طرفاه في تنفيذ عُدَّ العقدُ مجدداً لمدة غير محددة. مع مراعاة ما نصت عليه المادة (السابعة والثلاثون) من هذا النظام بالنسبة إلى غير السعوديين. 2 - إذا تضمن العقد المحدد المدة شرطاً يقضي بتجديده لمدة مماثلة أو لمدة محددة، فإنه يتجدد للمدة المتفق عليها. فإن تعدد التجديد ثلاث مرات متتالية، أو بلغت مدة العقد الأصلي مع مدة التجديد أربع سنوات أيهما أقل واستمر الطرفان في تنفيذه؛ تحوّل العقد إلى عقد غير محدد المدة""."
هل يجوز للعامل العمل لدى الغير؟,"المادة التاسعة والثلاثون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م / 24 ) وتاريخ 12 / 5 / 1434 هـ ، لتصبح بالنص الآتى ""المادة التاسعة والثلاثون 1 ) لا يجوز - بغير اتباع القواعد والاجراءات النظامية المقررة – أن يترك صاحب العمل عامله يعمل لدى الغير، ولا يجوز للعامل أن يعمل لدى صاحب عمل آخر، كما لا يجوز لصاحب العمل توظيف عامل غيره، وتتولى وزارة العمل التفتيش على المنشآت، والتحقيق في المخالفات التي يتم ضبطها من قبل مفتشيها، ومن ثم إحالتها إلى وزارة الداخلية لتطبيق العقوبات المقررة بشأنها. 2 ) لا يجوز لصاحب العمل أن يترك عامله يعمل لحسابه الخاص، كما لا يجوز للعامل أن يعمل لحسابه الخاص، وتتولى وزارة الداخلية ضبط وإيقاف وترحيل وإيقاع العقوبات على المخالفين من العاملين لحسابهم الخاص (العمالة السائبة) في الشوارع والميادين والمتغيبين عن العمل (الهاربين) وكذلك أصحاب العمل والمشغلين لهؤلاء والمتسترين عليهم والناقلين لهم وكل من له دور في المخالفة وتطبيق العقوبات المقررة بحقهم "".",المادة الثامنة عشرة بعد المائة : لا يجوز للعامل أثناء تمتعه بأي من إجازاته المنصوص عليها في هذا الفصل أن يعمل لدى صاحب عمل آخر، فإذا أثبت صاحب العمل أن العامل قد خالف ذلك فله أن يحرمه من أجره عن مدة الإجازة أو يسترد ما سبق أن أداه إليه من ذلك الأجر.,المادة الرابعة عشرة بعد المائة : للعامل الحق في الحصول على إجازة بأجر لا تقل مدتها عن عشرة أيام ولا تزيد على خمسة عشر يومًا بما فيها إجازة عيد الأضحى؛ وذلك لأداء فريضة الحج لمرة واحدة طوال مدة خدمته إذا لم يكن قد أداها من قبل، ويشترط لاستحقاق هذه الإجازة أن يكون العامل قد أمضى في العمل لدى صاحب العمل سنتين متصلتين على الأقل، ولصاحب العمل أن يحدد عدد العمال الذين يمنحون هذه الإجازة سنويًّا وفقًا لمقتضيات العمل.
هل يعفى المخالف من تصحيح المخالفة بعد دفع الغرامة؟,"المادة الرابعة والثلاثون بعد المائتين : تم تعديل أحكام المواد (التاسعة والعشرين بعد المائتين)، و(الثلاثين بعد المائتين)، و(الحادية والثلاثين بعد المائتين)، و(الثانية والثلاثين بعد المائتين)، و(الثالثة والثلاثين بعد المائتين)، و(الرابعة والثلاثين بعد المائتين)، و(الخامسة والثلاثين بعد المائتين)، و(السادسة والثلاثين بعد المائتين)، و(السابعة والثلاثين بعد المائتين)، و(السادسة والثلاثين بعد المائتين)، و(السابعة والثلاثين بعد المائتين)، و(الثامنة والثلاثين بعد المائتين)، و(التاسعة والثلاثين بعد المائتين)، و(الحادية والأربعين بعد المائتين)؛ وإعادة صياغة هذه المواد بعد تعديل أحكامها لتكون في مادتين بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ على النحو الآتي ""المادة التاسعة والعشرون بعد المائتين 1 - مع عدم الإخلال بأي عقوبة أشد ينص عليها نظام آخر، يعاقب كل من يخل بأي حكم من أحكام هذا النظام أو لائحته أو القرارات الصادرة تنفيذا له، بعقوبة أو أكثر من العقوبات الآتية أ - غرامة مالية لا تتجاوز مائة ألف ريـال. ب - إغلاق المنشأة لمدة لا تزيد على ثلاثين يوماً. ج - إغلاق المنشأة نهائيًّا. 2 - يجوز مضاعفة العقوبة الموقعة على المخالف في حال تكرار ارتكاب لمخالفة. 3 - تتعدد الغرامات بتعدد الأشخاص الذين وقعت المخالفة في شأنهم"". "" المادة الثلاثون بعد المائتين 1 - للوزارة – بقرار من الوزير أو من ينيبه – إيقاع العقوبتين أو إحداهما المنصوص عليهما في الفقرتين الفرعيتين (أ) و(ب) من الفقرة (1) من المادة (التاسعة والعشرين بعد المائتين) من هذا النظام، بما لا يتجاوز نصف الحد الأعلى المقرر لأي منهما، ويجوز التظلم من القرار الصادر بالعقوبة أمام المحكمة الإدارية المختصة. 2 - يصدر – بقرار من الوزير – جدول تُحدد فيه المخالفات والعقوبات المقابلة لها التي لا تتجاوز نصف الحد الأعلى للعقوبتين الواردتين في الفقرتين الفرعيتين (أ) و(ب) من الفقرة (1) من المادة (التاسعة والعشرين بعد المائتين) من هذا النظام، ويراعى في ذلك التدرج في تحديد مقدارها وتناسبها مع جسامة المخالفة. 3 - يصدر – بقرار من الوزير – جدول تحدد فيه المخالفات التي تتجاوز عقوباتها نصف الحد الأعلى للعقوبتين الواردتين في الفقرتين الفرعيتين (أ) و(ب) من الفقرة (1) من المادة (التاسعة والعشرين بعد المائتين) من هذا النظام، وتحدد فيه كذلك المخالفات التي تكون عقوبتها العقوبة الواردة في الفقرة الفرعية (ج) من الفقرة (1) من المادة المذكورة. 4 - إذا كانت المخالفة تستوجب عقوبة تزيد على نصف الحد الأعلى المقرر لها، أو كانت من المخالفات التي تستوجب عقوبة الإغلاق النهائي للمنشأة وفقاً للجدول المنصوص عليه في الفقرة (3) من هذه المادة؛ فترفع الوزارة دعوى أمام المحكمة المختصة للنظر فيها وإيقاع العقوبة المناسبة المنصوص عليها في المادة (التاسعة والعشرين بعد المائتين) من هذا النظام. 5 - يجوز الاتفاق بين الوزارة والمخالف على تسوية المخالفة، وذلك بدفع مبلغ الغرامة الذي تقدره الوزارة، على أن يصدر بهذه التسوية قرار من الوزير"".","المادة الثلاثون بعد المائتين : تم تعديل أحكام المواد (التاسعة والعشرين بعد المائتين)، و(الثلاثين بعد المائتين)، و(الحادية والثلاثين بعد المائتين)، و(الثانية والثلاثين بعد المائتين)، و(الثالثة والثلاثين بعد المائتين)، و(الرابعة والثلاثين بعد المائتين)، و(الخامسة والثلاثين بعد المائتين)، و(السادسة والثلاثين بعد المائتين)، و(السابعة والثلاثين بعد المائتين)، و(السادسة والثلاثين بعد المائتين)، و(السابعة والثلاثين بعد المائتين)، و(الثامنة والثلاثين بعد المائتين)، و(التاسعة والثلاثين بعد المائتين)، و(الحادية والأربعين بعد المائتين)؛ وإعادة صياغة هذه المواد بعد تعديل أحكامها لتكون في مادتين بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ على النحو الآتي ""المادة التاسعة والعشرون بعد المائتين 1 – مع عدم الإخلال بأي عقوبة أشد ينص عليها نظام آخر، يعاقب كل من يخل بأي حكم من أحكام هذا النظام أو لائحته أو القرارات الصادرة تنفيذا له، بعقوبة أو أكثر من العقوبات الآتية أ – غرامة مالية لا تتجاوز مائة ألف ريـال. ب – إغلاق المنشأة لمدة لا تزيد على ثلاثين يوماً. ج – إغلاق المنشأة نهائيًّا. 2 – يجوز مضاعفة العقوبة الموقعة على المخالف في حال تكرار ارتكاب لمخالفة. 3 – تتعدد الغرامات بتعدد الأشخاص الذين وقعت المخالفة في شأنهم"". "" المادة الثلاثون بعد المائتين 1 – للوزارة – بقرار من الوزير أو من ينيبه – إيقاع العقوبتين أو إحداهما المنصوص عليهما في الفقرتين الفرعيتين (أ) و(ب) من الفقرة (1) من المادة (التاسعة والعشرين بعد المائتين) من هذا النظام، بما لا يتجاوز نصف الحد الأعلى المقرر لأي منهما، ويجوز التظلم من القرار الصادر بالعقوبة أمام المحكمة الإدارية المختصة. 2 – يصدر – بقرار من الوزير – جدول تُحدد فيه المخالفات والعقوبات المقابلة لها التي لا تتجاوز نصف الحد الأعلى للعقوبتين الواردتين في الفقرتين الفرعيتين (أ) و(ب) من الفقرة (1) من المادة (التاسعة والعشرين بعد المائتين) من هذا النظام، ويراعى في ذلك التدرج في تحديد مقدارها وتناسبها مع جسامة المخالفة. 3 – يصدر – بقرار من الوزير – جدول تحدد فيه المخالفات التي تتجاوز عقوباتها نصف الحد الأعلى للعقوبتين الواردتين في الفقرتين الفرعيتين (أ) و(ب) من الفقرة (1) من المادة (التاسعة والعشرين بعد المائتين) من هذا النظام، وتحدد فيه كذلك المخالفات التي تكون عقوبتها العقوبة الواردة في الفقرة الفرعية (ج) من الفقرة (1) من المادة المذكورة. 4 – إذا كانت المخالفة تستوجب عقوبة تزيد على نصف الحد الأعلى المقرر لها، أو كانت من المخالفات التي تستوجب عقوبة الإغلاق النهائي للمنشأة وفقاً للجدول المنصوص عليه في الفقرة (3) من هذه المادة؛ فترفع الوزارة دعوى أمام المحكمة المختصة للنظر فيها وإيقاع العقوبة المناسبة المنصوص عليها في المادة (التاسعة والعشرين بعد المائتين) من هذا النظام. 5 – يجوز الاتفاق بين الوزارة والمخالف على تسوية المخالفة، وذلك بدفع مبلغ الغرامة الذي تقدره الوزارة، على أن يصدر بهذه التسوية قرار من الوزير"".","المادة الحادية والأربعون بعد المائتين : تم تعديل أحكام المواد (التاسعة والعشرين بعد المائتين)، و(الثلاثين بعد المائتين)، و(الحادية والثلاثين بعد المائتين)، و(الثانية والثلاثين بعد المائتين)، و(الثالثة والثلاثين بعد المائتين)، و(الرابعة والثلاثين بعد المائتين)، و(الخامسة والثلاثين بعد المائتين)، و(السادسة والثلاثين بعد المائتين)، و(السابعة والثلاثين بعد المائتين)، و(السادسة والثلاثين بعد المائتين)، و(السابعة والثلاثين بعد المائتين)، و(الثامنة والثلاثين بعد المائتين)، و(التاسعة والثلاثين بعد المائتين)، و(الحادية والأربعين بعد المائتين)؛ وإعادة صياغة هذه المواد بعد تعديل أحكامها لتكون في مادتين بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ على النحو الآتي ""المادة التاسعة والعشرون بعد المائتين 1 – مع عدم الإخلال بأي عقوبة أشد ينص عليها نظام آخر، يعاقب كل من يخل بأي حكم من أحكام هذا النظام أو لائحته أو القرارات الصادرة تنفيذا له، بعقوبة أو أكثر من العقوبات الآتية أ – غرامة مالية لا تتجاوز مائة ألف ريـال. ب – إغلاق المنشأة لمدة لا تزيد على ثلاثين يوماً. ج – إغلاق المنشأة نهائيًّا. 2 – يجوز مضاعفة العقوبة الموقعة على المخالف في حال تكرار ارتكاب لمخالفة. 3 – تتعدد الغرامات بتعدد الأشخاص الذين وقعت المخالفة في شأنهم"". "" المادة الثلاثون بعد المائتين 1 – للوزارة – بقرار من الوزير أو من ينيبه – إيقاع العقوبتين أو إحداهما المنصوص عليهما في الفقرتين الفرعيتين (أ) و(ب) من الفقرة (1) من المادة (التاسعة والعشرين بعد المائتين) من هذا النظام، بما لا يتجاوز نصف الحد الأعلى المقرر لأي منهما، ويجوز التظلم من القرار الصادر بالعقوبة أمام المحكمة الإدارية المختصة. 2 – يصدر – بقرار من الوزير – جدول تُحدد فيه المخالفات والعقوبات المقابلة لها التي لا تتجاوز نصف الحد الأعلى للعقوبتين الواردتين في الفقرتين الفرعيتين (أ) و(ب) من الفقرة (1) من المادة (التاسعة والعشرين بعد المائتين) من هذا النظام، ويراعى في ذلك التدرج في تحديد مقدارها وتناسبها مع جسامة المخالفة. 3 – يصدر – بقرار من الوزير – جدول تحدد فيه المخالفات التي تتجاوز عقوباتها نصف الحد الأعلى للعقوبتين الواردتين في الفقرتين الفرعيتين (أ) و(ب) من الفقرة (1) من المادة (التاسعة والعشرين بعد المائتين) من هذا النظام، وتحدد فيه كذلك المخالفات التي تكون عقوبتها العقوبة الواردة في الفقرة الفرعية (ج) من الفقرة (1) من المادة المذكورة. 4 – إذا كانت المخالفة تستوجب عقوبة تزيد على نصف الحد الأعلى المقرر لها، أو كانت من المخالفات التي تستوجب عقوبة الإغلاق النهائي للمنشأة وفقاً للجدول المنصوص عليه في الفقرة (3) من هذه المادة؛ فترفع الوزارة دعوى أمام المحكمة المختصة للنظر فيها وإيقاع العقوبة المناسبة المنصوص عليها في المادة (التاسعة والعشرين بعد المائتين) من هذا النظام. 5 – يجوز الاتفاق بين الوزارة والمخالف على تسوية المخالفة، وذلك بدفع مبلغ الغرامة الذي تقدره الوزارة، على أن يصدر بهذه التسوية قرار من الوزير""."
ما هي حقوق العامل في حالة بيع المنشأة؟,المادة السادسة والخمسون : في جميع الحالات التي يتجدد فيها العقد لمدة محددة، تعد المدة التي تجدد إليها العقد امتدادًا للمدة الأصلية في تحديد حقوق العامل التي تدخل مدة الخدمة في حسابها.,المادة الثانية والتسعون : لا يجوز حسم أي مبلغ من أجور العامل لقاء حقوق خاصة دون موافقة خطية منه، إلا في الحالات الآتية 1 - استرداد قروض صاحب العمل، بشرط ألا يزيد ما يحسم من العامل في هذه الحالة على 10% من أجره. 2 - اشتراكات التأمينات الاجتماعية ، وأي اشتراكات أخرى مستحقة على العامل ومقررة نظامًا. 3 - اشتراكات العامل في صندوق الادخار والقروض المستحقة للصندوق. 4 - أقساط أي مشروع يقوم به صاحب العمل لبناء المساكن بقصد تمليكها للعمال أو أي مزية أخرى. 5 - الغرامات التي توقع على العامل بسبب المخالفات التي يرتكبها، وكذلك المبلغ الذي يقتطع منه مقابل ما أتلفه. 6 - استيفاء دين إنفاذًا لأي حكم قضائي، على ألَّا يزيد ما يحسم شهريًّا لقاء ذلك على ربع الأجر المستحق للعامل ما لم يتضمن الحكم خلاف ذلك. ويستوفى دين النفقة أولًا، ثم دين المأكل والملبس والمسكن قبل الديون الأخرى.,المادة الحادية والتسعون : 1- إذا تسبب عامل في فقد أو إتلاف أو تدمير آلات أو منتجات يملكها صاحب العمل أو هي في عهدته وكان ذلك ناشئًا عن خطأ العامل أو مخالفته تعليمات صاحب العمل ولم يكن نتيجة لخطأ الغير أو ناشئًا عن قوة قاهرة، فلصاحب العمل أن يقتطع من أجر العامل المبلغ اللازم للإصلاح أو لإعادة الوضع إلى ما كان عليه على ألا يزيد ما يقتطع لهذا الغرض على أجر خمسة أيام في كل شهر، ولصاحب العمل الحق في التظلم عند الاقتضاء، وذلك بطلب ما هو أكثر من ذلك إذا كان للعامل مال آخر يمكن الاستيفاء منه، وللعامل أن يتظلم مما نسب إليه أو من تقدير صاحب العمل للتعويض أمام هيئة تسوية الخلافات العمالية، فإذا حكمت بعدم أحقية صاحب العمل في الرجوع على العامل بما اقتطعه منه أو حكمت بأقل منه وجب على صاحب العمل أن يرد إلى العامل ما اقتطع منه دون وجه حق خلال سبعة أيام من تاريخ صدور الحكم. 2 - يكون تظلم أي من الطرفين خلال خمسة عشر يوم عمل، وإلا سقط الحق فيه، ويبدأ موعد التظلم بالنسبة إلى صاحب العمل من تاريخ اكتشاف الواقعة، وبالنسبة إلى العامل من تاريخ إبلاغ صاحب العمل له بذلك.
هل يحق للعامل إجازة زواج؟,المادة الرابعة والخمسون بعد المائة : يحق للمرأة العاملة عندما تعود إلى مزاولة عملها بعد إجازة الوضع أن تأخذ بقصد إرضاع مولودها فترة أو فترات للاستراحة لا تزيد في مجموعها على الساعة في اليوم الواحد، وذلك علاوة على فترات الراحة الممنوحة لجميع العمال، وتحسب هذه الفترة أو الفترات من ساعات العمل الفعلية، ولا يترتب عليها تخفيض الأجر.,المادة السابعة عشرة بعد المائة : للعامل الذي يثبت مرضه الحق في إجازة مرضية بأجر عن الثلاثين يومًا الأولى، وبثلاثة أرباع الأجر عن الستين يومًا التالية، ودون أجر للثلاثين يومًا التي تلي ذلك خلال السنة الواحدة، سواء أكانت هذه الإجازات متصلة أم متقطعة، ويقصد بالسنة الواحدة السنة التي تبدأ من تاريخ أول إجازة مرضية.,المادة السادسة عشرة بعد المائة : يجوز للعامل بموافقة صاحب العمل الحصول على إجازة دون أجر، يتفق الطرفان على تحديد مدتها، ويعد عقد العمل موقوفًا خلال مدة الإجازة فيما زاد على عشرين يومًا، ما لم يتفق الطرفان على خلاف ذلك.
هل يجب التحقيق مع العامل قبل توقيع الجزاء؟,المادة التاسعة والستون : لا يجوز اتهام العامل بمخالفة مضى على كشفها أكثر من ثلاثين يومًا، ولا يجوز توقيع جزاء تأديبي بعد تاريخ انتهاء التحقيق في المخالفة وثبوتها في حق العامل بأكثر من ثلاثين يومًا.,"المادة الثالثة والسبعون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""يجب على صاحب العمل أن يكتب الغرامات التي يوقعها على العامل في سجل خاص، مع بيان اسم العامل ومقدار أجره ومقدار الغرامة وسبب توقيعها وتاريخ ذلك. ولا يجوز التصرف في الغرامات إلا فيما يعود بالنفع على عمال المنشأة، على أن يكون التصرف بهذه الغرامات من قبل اللجنة العمالية في المنشأة، وفي حالة عدم وجود لجنة يكون التصرف في الغرامات بموافقة الوزارة"".",المادة السبعون : لا يجوز توقيع جزاء تأديبي على العامل لأمر ارتكبه خارج مكان العمل ما لم يكن متصلًا بالعمل أو بصاحبه أو مديره المسؤول، كما لا يجوز أن يوقع على العامل عن المخالفة الواحدة غرامة تزيد قيمتها على أجرة خمسة أيام، ولا توقيع أكثر من جزاء واحد على المخالفة الواحدة، ولا أن تُقتطع من أجره وفاءً للغرامات التي توقع عليه أكثر من أجر خمسة أيام في الشهر الواحد، ولا أن تزيد مدة إيقافه عن العمل دون أجر على خمسة أيام في الشهر.
أين أجد تفاصيل أكثر عن ذوي الإعاقة؟,المادة الحادية والسبعون بعد المائة : يجب أن ينص في عقد العمل البحري على تاريخ إبرامه ومكانه، واسم المجهز، واسم البحار ولقبه وسنه وجنسيته وموطنه، ونوع العمل المكلف به، وكيفية أدائه، والشهادة التي تتيح له العمل في الملاحة البحرية، والتذكرة الشخصية البحرية، ومقدار الأجر، ومدة العقد، أما إذا كان العقد لسفرة واحدة فيجب تحديد المدينة أو المرفأ البحري الذي تنتهي عنده الرحلة، وفي أي مرحلة من مراحل تفريغ السفينة أو تحميلها في هذا المرفأ ينتهي العمل، وغير ذلك من تفاصيل العقد. ويكون العقد من ثلاث نسخ نسخة لمجهز السفينة، ونسخة للربان للاحتفاظ بها على ظهر السفينة، ونسخة للبحار.,المادة الرابعة والستون بعد المائة : لا يجوز تشغيل الأحداث تشغيلًا فعليًّا أكثر من ست ساعات في اليوم الواحد لسائر شهور السنة، عدا شهر رمضان، فيجب ألا تزيد ساعات العمل الفعلية فيه على أربع ساعات. وتنظم ساعات العمل بحيث لا يعمل الحدث أكثر من أربع ساعات متصلة دون فترة أو أكثر للراحة والطعام والصلاة، لا تقل في المرة الواحدة عن نصف ساعة، وبحيث لا يبقى في مكان العمل أكثر من سبع ساعات. ولا يجوز تشغيل الأحداث في أيام الراحة الأسبوعية أو في أيام الأعياد والعطلات الرسمية والإجازة السنوية. ولا تسري عليهم الاستثناءات التي نصت عليها المادة السادسة بعد المائة من هذا النظام.,المادة السبعون : لا يجوز توقيع جزاء تأديبي على العامل لأمر ارتكبه خارج مكان العمل ما لم يكن متصلًا بالعمل أو بصاحبه أو مديره المسؤول، كما لا يجوز أن يوقع على العامل عن المخالفة الواحدة غرامة تزيد قيمتها على أجرة خمسة أيام، ولا توقيع أكثر من جزاء واحد على المخالفة الواحدة، ولا أن تُقتطع من أجره وفاءً للغرامات التي توقع عليه أكثر من أجر خمسة أيام في الشهر الواحد، ولا أن تزيد مدة إيقافه عن العمل دون أجر على خمسة أيام في الشهر.
هل تؤثر الإجازة بدون راتب على موعد استحقاق الإجازة السنوية؟,المادة العاشرة بعد المائة : 1- للعامل بموافقة صاحب العمل أن يؤجل إجازته السنوية أو أيامًا منها إلى السنة التالية. 2 - لصاحب العمل حق تأجيل إجازة العامل بعد نهاية سنة استحقاقها إذا اقتضت ظروف العمل ذلك لمدة لا تزيد على تسعين يومًا، فإذا اقتضت ظروف العمل استمرار التأجيل وجب الحصول على موافقة العامل كتابة، على ألا يتعدى التأجيل نهاية السنة التالية لسنة استحقاق الإجازة.,المادة الحادية عشرة بعد المائة : للعامل الحق في الحصول على أجرة عن أيام الإجازة المستحقة إذا ترك العمل قبل استعماله لها، وذلك بالنسبة إلى المدة التي لم يحصل على إجازته عنها، كما يستحق أجرة الإجازة عن أجزاء السنة بنسبة ما قضاه منها في العمل.,المادة الرابعة عشرة بعد المائة : للعامل الحق في الحصول على إجازة بأجر لا تقل مدتها عن عشرة أيام ولا تزيد على خمسة عشر يومًا بما فيها إجازة عيد الأضحى؛ وذلك لأداء فريضة الحج لمرة واحدة طوال مدة خدمته إذا لم يكن قد أداها من قبل، ويشترط لاستحقاق هذه الإجازة أن يكون العامل قد أمضى في العمل لدى صاحب العمل سنتين متصلتين على الأقل، ولصاحب العمل أن يحدد عدد العمال الذين يمنحون هذه الإجازة سنويًّا وفقًا لمقتضيات العمل.
هل يجوز للعامل المستقيل الرجوع في استقالته؟,المادة الحادية والتسعون : 1- إذا تسبب عامل في فقد أو إتلاف أو تدمير آلات أو منتجات يملكها صاحب العمل أو هي في عهدته وكان ذلك ناشئًا عن خطأ العامل أو مخالفته تعليمات صاحب العمل ولم يكن نتيجة لخطأ الغير أو ناشئًا عن قوة قاهرة، فلصاحب العمل أن يقتطع من أجر العامل المبلغ اللازم للإصلاح أو لإعادة الوضع إلى ما كان عليه على ألا يزيد ما يقتطع لهذا الغرض على أجر خمسة أيام في كل شهر، ولصاحب العمل الحق في التظلم عند الاقتضاء، وذلك بطلب ما هو أكثر من ذلك إذا كان للعامل مال آخر يمكن الاستيفاء منه، وللعامل أن يتظلم مما نسب إليه أو من تقدير صاحب العمل للتعويض أمام هيئة تسوية الخلافات العمالية، فإذا حكمت بعدم أحقية صاحب العمل في الرجوع على العامل بما اقتطعه منه أو حكمت بأقل منه وجب على صاحب العمل أن يرد إلى العامل ما اقتطع منه دون وجه حق خلال سبعة أيام من تاريخ صدور الحكم. 2 - يكون تظلم أي من الطرفين خلال خمسة عشر يوم عمل، وإلا سقط الحق فيه، ويبدأ موعد التظلم بالنسبة إلى صاحب العمل من تاريخ اكتشاف الواقعة، وبالنسبة إلى العامل من تاريخ إبلاغ صاحب العمل له بذلك.,"المادة التاسعة والثلاثون : تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م / 24 ) وتاريخ 12 / 5 / 1434 هـ ، لتصبح بالنص الآتى ""المادة التاسعة والثلاثون 1 ) لا يجوز - بغير اتباع القواعد والاجراءات النظامية المقررة – أن يترك صاحب العمل عامله يعمل لدى الغير، ولا يجوز للعامل أن يعمل لدى صاحب عمل آخر، كما لا يجوز لصاحب العمل توظيف عامل غيره، وتتولى وزارة العمل التفتيش على المنشآت، والتحقيق في المخالفات التي يتم ضبطها من قبل مفتشيها، ومن ثم إحالتها إلى وزارة الداخلية لتطبيق العقوبات المقررة بشأنها. 2 ) لا يجوز لصاحب العمل أن يترك عامله يعمل لحسابه الخاص، كما لا يجوز للعامل أن يعمل لحسابه الخاص، وتتولى وزارة الداخلية ضبط وإيقاف وترحيل وإيقاع العقوبات على المخالفين من العاملين لحسابهم الخاص (العمالة السائبة) في الشوارع والميادين والمتغيبين عن العمل (الهاربين) وكذلك أصحاب العمل والمشغلين لهؤلاء والمتسترين عليهم والناقلين لهم وكل من له دور في المخالفة وتطبيق العقوبات المقررة بحقهم "".",المادة الثامنة عشرة بعد المائة : لا يجوز للعامل أثناء تمتعه بأي من إجازاته المنصوص عليها في هذا الفصل أن يعمل لدى صاحب عمل آخر، فإذا أثبت صاحب العمل أن العامل قد خالف ذلك فله أن يحرمه من أجره عن مدة الإجازة أو يسترد ما سبق أن أداه إليه من ذلك الأجر.
