المادة القانونية (م),السؤال,الإجابة,Article_label,Article,Text,Gold_Article,Gold_Text,Overlap_Jaccard,Coverage_Answer_in_Article,Coverage_Article_in_Answer,Answer_Length_Tokens,Article_Length_Tokens,Manual_Correctness,Manual_Grammar,Manual_Style,Relevance,Notes
السابعة والخمسون,في حالة تكليف العامل بالعمل في مكان آخر دون موافقته في حالات الضرورة، ما هو التزام صاحب العمل؟,أن يتحمل صاحب العمل تكاليف انتقال العامل وإقامته خلال تلك المدة.,السابعة والخمسون,المادة السابعة والخمسون ,إذا كان العقد من أجل القيام بعمل معين فإنه ينتهي بإنجاز العمل المتفق عليه.,المادة السابعة والخمسون ,إذا كان العقد من أجل القيام بعمل معين فإنه ينتهي بإنجاز العمل المتفق عليه.,0.041666666666666664,0.09090909090909091,0.07142857142857142,11,14,,,,,
الثامنة والخمسون,هل يجوز نقل العامل ذي الأجر الشهري إلى فئة عمال اليومية أو العمال المعينين بالأجر الأسبوعي؟,لا يجوز، إلا إذا وافق العامل على ذلك كتابة.,الثامنة والخمسون,المادة الثامنة والخمسون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""1 - لا يجوز لصاحب العمل أن ينقل العامل بغير موافقته – كتابةً – من مكان عمله الأصلي إلى مكان آخر يقتضي تغيير محل إقامته. 2 - لصاحب العمل - في حالات الضرورة التي قد تقتضيها ظروف عارضة ولمدة لا تتجاوز ثلاثين يوماً في السنة – تكليف العامل بعمل في مكان يختلف عن المكان المتفق عليه دون اشتراط موافقته، على أن يتحمل صاحب العمل تكاليف انتقال العامل وإقامته خلال تلك المدة"".",المادة الثامنة والخمسون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""1 - لا يجوز لصاحب العمل أن ينقل العامل بغير موافقته – كتابةً – من مكان عمله الأصلي إلى مكان آخر يقتضي تغيير محل إقامته. 2 - لصاحب العمل - في حالات الضرورة التي قد تقتضيها ظروف عارضة ولمدة لا تتجاوز ثلاثين يوماً في السنة – تكليف العامل بعمل في مكان يختلف عن المكان المتفق عليه دون اشتراط موافقته، على أن يتحمل صاحب العمل تكاليف انتقال العامل وإقامته خلال تلك المدة"".",0.05194805194805195,0.4444444444444444,0.05555555555555555,9,84,0,,,,إحالة خاطئة: المادة الصحيحة للّغة هي التاسعة.
الثامنة والخمسون,ما هو الشرط اللازم لتغيير فئة أجر العامل الشهري إلى فئة أخرى؟,موافقة العامل على ذلك كتابة.,الثامنة والخمسون,المادة الثامنة والخمسون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""1 - لا يجوز لصاحب العمل أن ينقل العامل بغير موافقته – كتابةً – من مكان عمله الأصلي إلى مكان آخر يقتضي تغيير محل إقامته. 2 - لصاحب العمل - في حالات الضرورة التي قد تقتضيها ظروف عارضة ولمدة لا تتجاوز ثلاثين يوماً في السنة – تكليف العامل بعمل في مكان يختلف عن المكان المتفق عليه دون اشتراط موافقته، على أن يتحمل صاحب العمل تكاليف انتقال العامل وإقامته خلال تلك المدة"".",المادة الثامنة والخمسون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""1 - لا يجوز لصاحب العمل أن ينقل العامل بغير موافقته – كتابةً – من مكان عمله الأصلي إلى مكان آخر يقتضي تغيير محل إقامته. 2 - لصاحب العمل - في حالات الضرورة التي قد تقتضيها ظروف عارضة ولمدة لا تتجاوز ثلاثين يوماً في السنة – تكليف العامل بعمل في مكان يختلف عن المكان المتفق عليه دون اشتراط موافقته، على أن يتحمل صاحب العمل تكاليف انتقال العامل وإقامته خلال تلك المدة"".",0.02666666666666667,0.4,0.027777777777777776,5,84,0,,,,إحالة خاطئة: المادة الصحيحة للّغة هي التاسعة.
الثامنة والخمسون,هل يؤثر نقل العامل من الأجر الشهري إلى فئة أخرى على حقوقه المكتسبة في المدة التي قضاها بالأجر الشهري؟,لا، يجب أن يكون النقل مع عدم الإخلال بالحقوق التي اكتسبها العامل في المدة التي قضاها بالأجر الشهري.,الثامنة والخمسون,المادة الثامنة والخمسون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""1 - لا يجوز لصاحب العمل أن ينقل العامل بغير موافقته – كتابةً – من مكان عمله الأصلي إلى مكان آخر يقتضي تغيير محل إقامته. 2 - لصاحب العمل - في حالات الضرورة التي قد تقتضيها ظروف عارضة ولمدة لا تتجاوز ثلاثين يوماً في السنة – تكليف العامل بعمل في مكان يختلف عن المكان المتفق عليه دون اشتراط موافقته، على أن يتحمل صاحب العمل تكاليف انتقال العامل وإقامته خلال تلك المدة"".",المادة الثامنة والخمسون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""1 - لا يجوز لصاحب العمل أن ينقل العامل بغير موافقته – كتابةً – من مكان عمله الأصلي إلى مكان آخر يقتضي تغيير محل إقامته. 2 - لصاحب العمل - في حالات الضرورة التي قد تقتضيها ظروف عارضة ولمدة لا تتجاوز ثلاثين يوماً في السنة – تكليف العامل بعمل في مكان يختلف عن المكان المتفق عليه دون اشتراط موافقته، على أن يتحمل صاحب العمل تكاليف انتقال العامل وإقامته خلال تلك المدة"".",0.07228915662650602,0.35294117647058826,0.08333333333333333,18,84,0,,,,إحالة خاطئة: المادة الصحيحة للّغة هي التاسعة.
الستون,هل يجوز تكليف العامل بعمل يختلف اختلافاً جوهرياً عن العمل المتفق عليه؟,لا يجوز، بغير موافقته الكتابية.,الستون,المادة الستون ,مع عدم الإخلال بما تضمنته المادة (الثامنة والثلاثون) من هذا النظام، لا يجوز تكليف العامل بعمل يختلف اختلافًا جوهريًّا عن العمل المتفق عليه بغير موافقته الكتابية، إلا في حالات الضرورة التي قد تقتضيها ظروف عارضة، ولمدة لا تتجاوز ثلاثين يومًا في السنة.,المادة الستون ,مع عدم الإخلال بما تضمنته المادة (الثامنة والثلاثون) من هذا النظام، لا يجوز تكليف العامل بعمل يختلف اختلافًا جوهريًّا عن العمل المتفق عليه بغير موافقته الكتابية، إلا في حالات الضرورة التي قد تقتضيها ظروف عارضة، ولمدة لا تتجاوز ثلاثين يومًا في السنة.,0.125,1.0,0.125,5,42,,,,,
الستون,ما هي حالات الاستثناء التي يجوز فيها تكليف العامل بعمل يختلف جوهرياً عن العمل المتفق عليه دون موافقته الكتابية؟,في حالات الضرورة التي قد تقتضيها ظروف عارضة، ولمدة لا تتجاوز ثلاثين يومًا في السنة.,الستون,المادة الستون ,مع عدم الإخلال بما تضمنته المادة (الثامنة والثلاثون) من هذا النظام، لا يجوز تكليف العامل بعمل يختلف اختلافًا جوهريًّا عن العمل المتفق عليه بغير موافقته الكتابية، إلا في حالات الضرورة التي قد تقتضيها ظروف عارضة، ولمدة لا تتجاوز ثلاثين يومًا في السنة.,المادة الستون ,مع عدم الإخلال بما تضمنته المادة (الثامنة والثلاثون) من هذا النظام، لا يجوز تكليف العامل بعمل يختلف اختلافًا جوهريًّا عن العمل المتفق عليه بغير موافقته الكتابية، إلا في حالات الضرورة التي قد تقتضيها ظروف عارضة، ولمدة لا تتجاوز ثلاثين يومًا في السنة.,0.35,1.0,0.35,15,42,,,,,
الستون,ما هي المادة التي يجب مراعاتها عند تكليف العامل بعمل آخر؟,المادة (الثامنة والثلاثون) من هذا النظام.,الستون,المادة الستون ,مع عدم الإخلال بما تضمنته المادة (الثامنة والثلاثون) من هذا النظام، لا يجوز تكليف العامل بعمل يختلف اختلافًا جوهريًّا عن العمل المتفق عليه بغير موافقته الكتابية، إلا في حالات الضرورة التي قد تقتضيها ظروف عارضة، ولمدة لا تتجاوز ثلاثين يومًا في السنة.,المادة الستون ,مع عدم الإخلال بما تضمنته المادة (الثامنة والثلاثون) من هذا النظام، لا يجوز تكليف العامل بعمل يختلف اختلافًا جوهريًّا عن العمل المتفق عليه بغير موافقته الكتابية، إلا في حالات الضرورة التي قد تقتضيها ظروف عارضة، ولمدة لا تتجاوز ثلاثين يومًا في السنة.,0.15,1.0,0.15,6,42,,,,,
الواحدة والستون,ما هو الإجراء الذي يجب على صاحب العمل الامتناع عن القيام به فيما يخص تكافؤ الفرص في العمل؟,أن يمتنع عن القيام بكل ما من شأنه إبطال أو إضعاف تطبيق تكافؤ الفرص أو المعاملة في الاستخدام والمهنة على أساس التمييز.,الواحدة والستون,,,,,0.0,0.0,0.0,22,0,,,,,
الواحدة والستون,ما هو البديل الذي يجوز لصاحب العمل تقديمه بدلاً من توفير السكن اللائق لعماله؟,أن يستعيض عن ذلك ببدل نقدي مناسب يدفعه لهم مع الأجر.,الواحدة والستون,,,,,0.0,0.0,0.0,11,0,,,,,
الواحدة والستون,متى يبدأ العمل بالتعديلات الجديدة في هذه المادة بموجب المرسوم الملكي رقم (م/44)؟,ويعمل بها من تاريخ 1446/8/20هـ.,الواحدة والستون,,,,,0.0,0.0,0.0,7,0,,,,,
الثانية والستون,متى يحق للعامل الحصول على أجره بالرغم من عدم أداء العمل؟,إذا حضر لأداء عمله أو بين أنه مستعد لذلك، ولم يمنعه عن العمل إلا سبب راجع إلى صاحب العمل.,الثانية والستون,المادة الثانية والستون,إذا حضر العامل لأداء عمله في الوقت المحدد لذلك، أو بين أنه مستعد لأداء عمله في هذا الوقت، ولم يمنعه عن العمل إلا سبب راجع إلى صاحب العمل؛ كان له الحق في أجر المدة التي لا يؤدي فيها العمل.,المادة الثانية والستون,إذا حضر العامل لأداء عمله في الوقت المحدد لذلك، أو بين أنه مستعد لأداء عمله في هذا الوقت، ولم يمنعه عن العمل إلا سبب راجع إلى صاحب العمل؛ كان له الحق في أجر المدة التي لا يؤدي فيها العمل.,0.5454545454545454,1.0,0.5454545454545454,19,39,,,,,
الثانية والستون,هل يحق للعامل أجر المدة التي لم يؤدِ فيها العمل إذا كان سبب المنع راجعاً لصاحب العمل؟,نعم، كان له الحق في أجر المدة التي لا يؤدي فيها العمل.,الثانية والستون,المادة الثانية والستون,إذا حضر العامل لأداء عمله في الوقت المحدد لذلك، أو بين أنه مستعد لأداء عمله في هذا الوقت، ولم يمنعه عن العمل إلا سبب راجع إلى صاحب العمل؛ كان له الحق في أجر المدة التي لا يؤدي فيها العمل.,المادة الثانية والستون,إذا حضر العامل لأداء عمله في الوقت المحدد لذلك، أو بين أنه مستعد لأداء عمله في هذا الوقت، ولم يمنعه عن العمل إلا سبب راجع إلى صاحب العمل؛ كان له الحق في أجر المدة التي لا يؤدي فيها العمل.,0.3235294117647059,0.9166666666666666,0.3333333333333333,12,39,,,,,
الثانية والستون,ما هي الشروط لحصول العامل على أجره في هذه الحالة؟,حضوره لأداء عمله في الوقت المحدد أو إبداء استعداده لذلك، وأن يكون سبب المنع راجعاً إلى صاحب العمل.,الثانية والستون,المادة الثانية والستون,إذا حضر العامل لأداء عمله في الوقت المحدد لذلك، أو بين أنه مستعد لأداء عمله في هذا الوقت، ولم يمنعه عن العمل إلا سبب راجع إلى صاحب العمل؛ كان له الحق في أجر المدة التي لا يؤدي فيها العمل.,المادة الثانية والستون,إذا حضر العامل لأداء عمله في الوقت المحدد لذلك، أو بين أنه مستعد لأداء عمله في هذا الوقت، ولم يمنعه عن العمل إلا سبب راجع إلى صاحب العمل؛ كان له الحق في أجر المدة التي لا يؤدي فيها العمل.,0.275,0.6111111111111112,0.3333333333333333,18,39,,,,,
الرابعة والستون,ما هو الواجب على صاحب العمل أو وكيله أو أي شخص له سلطة على العمال فيما يتعلق بالمواد المحرمة شرعاً؟,منع دخول أي مادة محرمة شرعًا إلى أماكن العمل.,الرابعة والستون,المادة الرابعة والستون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" يلتزم صاحب العمل عند انتهاء عقد العمل بما يأتي 1 - أن يعطي العامل – بناءً على طلبه – شهادة خدمة دون مقابل، يوضح فيها تاريخ التحاقه بالعمل، وتاريخ انتهاء علاقته به، ومهنته، ومقدار أجره الأخير. ولا يجوز لصاحب العمل تضمين الشهادة ما قد يسيء إلى سمعة العامل أو يقلل من فرص العمل أمامه. 2 - أن يعيد إلى العامل جميع ما أودعه لديه من شهادات أو وثائق"".",المادة الرابعة والستون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" يلتزم صاحب العمل عند انتهاء عقد العمل بما يأتي 1 - أن يعطي العامل – بناءً على طلبه – شهادة خدمة دون مقابل، يوضح فيها تاريخ التحاقه بالعمل، وتاريخ انتهاء علاقته به، ومهنته، ومقدار أجره الأخير. ولا يجوز لصاحب العمل تضمين الشهادة ما قد يسيء إلى سمعة العامل أو يقلل من فرص العمل أمامه. 2 - أن يعيد إلى العامل جميع ما أودعه لديه من شهادات أو وثائق"".",0.02564102564102564,0.2222222222222222,0.028169014084507043,9,83,,,,,
الرابعة والستون,ما هي العقوبة المطبقة بحق من وجدت لديه أو من تعاطى مادة محرمة شرعاً في مكان العمل؟,تطبق بحقه العقوبات المقررة في هذا النظام، مع عدم الإخلال بالعقوبات الشرعية.,الرابعة والستون,المادة الرابعة والستون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" يلتزم صاحب العمل عند انتهاء عقد العمل بما يأتي 1 - أن يعطي العامل – بناءً على طلبه – شهادة خدمة دون مقابل، يوضح فيها تاريخ التحاقه بالعمل، وتاريخ انتهاء علاقته به، ومهنته، ومقدار أجره الأخير. ولا يجوز لصاحب العمل تضمين الشهادة ما قد يسيء إلى سمعة العامل أو يقلل من فرص العمل أمامه. 2 - أن يعيد إلى العامل جميع ما أودعه لديه من شهادات أو وثائق"".",المادة الرابعة والستون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" يلتزم صاحب العمل عند انتهاء عقد العمل بما يأتي 1 - أن يعطي العامل – بناءً على طلبه – شهادة خدمة دون مقابل، يوضح فيها تاريخ التحاقه بالعمل، وتاريخ انتهاء علاقته به، ومهنته، ومقدار أجره الأخير. ولا يجوز لصاحب العمل تضمين الشهادة ما قد يسيء إلى سمعة العامل أو يقلل من فرص العمل أمامه. 2 - أن يعيد إلى العامل جميع ما أودعه لديه من شهادات أو وثائق"".",0.0,0.0,0.0,12,83,,,,,
الرابعة والستون,هل تنفي العقوبات المقررة في هذا النظام تطبيق العقوبات الشرعية على من وجدت لديه مواد محرمة؟,لا، تطبق العقوبات المقررة في هذا النظام مع عدم الإخلال بالعقوبات الشرعية.,الرابعة والستون,المادة الرابعة والستون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" يلتزم صاحب العمل عند انتهاء عقد العمل بما يأتي 1 - أن يعطي العامل – بناءً على طلبه – شهادة خدمة دون مقابل، يوضح فيها تاريخ التحاقه بالعمل، وتاريخ انتهاء علاقته به، ومهنته، ومقدار أجره الأخير. ولا يجوز لصاحب العمل تضمين الشهادة ما قد يسيء إلى سمعة العامل أو يقلل من فرص العمل أمامه. 2 - أن يعيد إلى العامل جميع ما أودعه لديه من شهادات أو وثائق"".",المادة الرابعة والستون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي "" يلتزم صاحب العمل عند انتهاء عقد العمل بما يأتي 1 - أن يعطي العامل – بناءً على طلبه – شهادة خدمة دون مقابل، يوضح فيها تاريخ التحاقه بالعمل، وتاريخ انتهاء علاقته به، ومهنته، ومقدار أجره الأخير. ولا يجوز لصاحب العمل تضمين الشهادة ما قد يسيء إلى سمعة العامل أو يقلل من فرص العمل أمامه. 2 - أن يعيد إلى العامل جميع ما أودعه لديه من شهادات أو وثائق"".",0.0,0.0,0.0,12,83,,,,,
الثالثة والسبعون,ما هي الالتزامات المفروضة على صاحب العمل عند انتهاء عقد العمل؟,1- أن يعطي العامل شهادة خدمة دون مقابل بناءً على طلبه. 2- أن يعيد إلى العامل جميع ما أودعه لديه من شهادات أو وثائق.,الثالثة والسبعون,المادة الثالثة والسبعون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""يجب على صاحب العمل أن يكتب الغرامات التي يوقعها على العامل في سجل خاص، مع بيان اسم العامل ومقدار أجره ومقدار الغرامة وسبب توقيعها وتاريخ ذلك. ولا يجوز التصرف في الغرامات إلا فيما يعود بالنفع على عمال المنشأة، على أن يكون التصرف بهذه الغرامات من قبل اللجنة العمالية في المنشأة، وفي حالة عدم وجود لجنة يكون التصرف في الغرامات بموافقة الوزارة"".",المادة الثالثة والسبعون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""يجب على صاحب العمل أن يكتب الغرامات التي يوقعها على العامل في سجل خاص، مع بيان اسم العامل ومقدار أجره ومقدار الغرامة وسبب توقيعها وتاريخ ذلك. ولا يجوز التصرف في الغرامات إلا فيما يعود بالنفع على عمال المنشأة، على أن يكون التصرف بهذه الغرامات من قبل اللجنة العمالية في المنشأة، وفي حالة عدم وجود لجنة يكون التصرف في الغرامات بموافقة الوزارة"".",0.04938271604938271,0.18181818181818182,0.06349206349206349,24,80,,,,,
الثالثة والسبعون,ما هي البيانات التي يجب على صاحب العمل توضيحها في شهادة الخدمة؟,تاريخ التحاقه بالعمل، وتاريخ انتهاء علاقته به، ومهنته، ومقدار أجره الأخير.,الثالثة والسبعون,المادة الثالثة والسبعون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""يجب على صاحب العمل أن يكتب الغرامات التي يوقعها على العامل في سجل خاص، مع بيان اسم العامل ومقدار أجره ومقدار الغرامة وسبب توقيعها وتاريخ ذلك. ولا يجوز التصرف في الغرامات إلا فيما يعود بالنفع على عمال المنشأة، على أن يكون التصرف بهذه الغرامات من قبل اللجنة العمالية في المنشأة، وفي حالة عدم وجود لجنة يكون التصرف في الغرامات بموافقة الوزارة"".",المادة الثالثة والسبعون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""يجب على صاحب العمل أن يكتب الغرامات التي يوقعها على العامل في سجل خاص، مع بيان اسم العامل ومقدار أجره ومقدار الغرامة وسبب توقيعها وتاريخ ذلك. ولا يجوز التصرف في الغرامات إلا فيما يعود بالنفع على عمال المنشأة، على أن يكون التصرف بهذه الغرامات من قبل اللجنة العمالية في المنشأة، وفي حالة عدم وجود لجنة يكون التصرف في الغرامات بموافقة الوزارة"".",0.04225352112676056,0.2727272727272727,0.047619047619047616,11,80,,,,,
الثالثة والسبعون,هل يجوز لصاحب العمل تضمين شهادة الخدمة ما قد يسيء إلى سمعة العامل؟,لا يجوز لصاحب العمل تضمين الشهادة ما قد يسيء إلى سمعة العامل أو يقلل من فرص العمل أمامه.,الثالثة والسبعون,المادة الثالثة والسبعون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""يجب على صاحب العمل أن يكتب الغرامات التي يوقعها على العامل في سجل خاص، مع بيان اسم العامل ومقدار أجره ومقدار الغرامة وسبب توقيعها وتاريخ ذلك. ولا يجوز التصرف في الغرامات إلا فيما يعود بالنفع على عمال المنشأة، على أن يكون التصرف بهذه الغرامات من قبل اللجنة العمالية في المنشأة، وفي حالة عدم وجود لجنة يكون التصرف في الغرامات بموافقة الوزارة"".",المادة الثالثة والسبعون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""يجب على صاحب العمل أن يكتب الغرامات التي يوقعها على العامل في سجل خاص، مع بيان اسم العامل ومقدار أجره ومقدار الغرامة وسبب توقيعها وتاريخ ذلك. ولا يجوز التصرف في الغرامات إلا فيما يعود بالنفع على عمال المنشأة، على أن يكون التصرف بهذه الغرامات من قبل اللجنة العمالية في المنشأة، وفي حالة عدم وجود لجنة يكون التصرف في الغرامات بموافقة الوزارة"".",0.05263157894736842,0.23529411764705882,0.06349206349206349,18,80,,,,,
الخامسة والسبعون,اذكر ثلاثاً من الواجبات التي يجب على العامل الالتزام بها بالإضافة إلى ما ورد في النظام واللوائح؟,1- إنجاز العمل وفقاً لأصول المهنة وتعليمات صاحب العمل المشروعة. 2- العناية الكافية بالآلات والأدوات والمهمات. 3- الالتزام بحسن السلوك والأخلاق أثناء العمل. 4- تقديم العون والمساعدة في حالات الكوارث والأخطار. 5- الخضوع للفحوص الطبية عند طلب صاحب العمل. 6- حفظ الأسرار الفنية والتجارية والصناعية.,الخامسة والسبعون,المادة الخامسة والسبعون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""إذا كان العقد غير محدد المدة، جاز لأي من طرفيه إنهاؤه بناءً على سبب مشروع يجب بيانه بموجب إشعار يوجه إلى الطرف الآخر كتابةً قبل الإنهاء بمدة تحدد في العقد، على ألا تقل عن ستين يوماً إذا كان أجر العامل يدفع شهريًّا، ولا تقل عن ثلاثين يوماً بالنسبة إلى غيره"".",المادة الخامسة والسبعون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""إذا كان العقد غير محدد المدة، جاز لأي من طرفيه إنهاؤه بناءً على سبب مشروع يجب بيانه بموجب إشعار يوجه إلى الطرف الآخر كتابةً قبل الإنهاء بمدة تحدد في العقد، على ألا تقل عن ستين يوماً إذا كان أجر العامل يدفع شهريًّا، ولا تقل عن ثلاثين يوماً بالنسبة إلى غيره"".",0.030612244897959183,0.07317073170731707,0.05,45,69,,,,,
الخامسة والسبعون,متى يجوز للعامل ألا يتبع تعليمات صاحب العمل؟,إذا كان في هذه التعليمات ما يخالف العقد أو النظام أو الآداب العامة، أو كان في تنفيذها ما يعرض للخطر.,الخامسة والسبعون,المادة الخامسة والسبعون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""إذا كان العقد غير محدد المدة، جاز لأي من طرفيه إنهاؤه بناءً على سبب مشروع يجب بيانه بموجب إشعار يوجه إلى الطرف الآخر كتابةً قبل الإنهاء بمدة تحدد في العقد، على ألا تقل عن ستين يوماً إذا كان أجر العامل يدفع شهريًّا، ولا تقل عن ثلاثين يوماً بالنسبة إلى غيره"".",المادة الخامسة والسبعون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""إذا كان العقد غير محدد المدة، جاز لأي من طرفيه إنهاؤه بناءً على سبب مشروع يجب بيانه بموجب إشعار يوجه إلى الطرف الآخر كتابةً قبل الإنهاء بمدة تحدد في العقد، على ألا تقل عن ستين يوماً إذا كان أجر العامل يدفع شهريًّا، ولا تقل عن ثلاثين يوماً بالنسبة إلى غيره"".",0.07142857142857142,0.3333333333333333,0.08333333333333333,20,69,,,,,
الخامسة والسبعون,ما هو الالتزام المفروض على العامل فيما يتعلق بأسرار العمل؟,أن يحفظ الأسرار الفنية والتجارية والصناعية للمواد التي ينتجها أو أسهم في إنتاجها، وجميع الأسرار المهنية المتعلقة بالعمل أو المنشأة.,الخامسة والسبعون,المادة الخامسة والسبعون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""إذا كان العقد غير محدد المدة، جاز لأي من طرفيه إنهاؤه بناءً على سبب مشروع يجب بيانه بموجب إشعار يوجه إلى الطرف الآخر كتابةً قبل الإنهاء بمدة تحدد في العقد، على ألا تقل عن ستين يوماً إذا كان أجر العامل يدفع شهريًّا، ولا تقل عن ثلاثين يوماً بالنسبة إلى غيره"".",المادة الخامسة والسبعون ,"تم تعديل هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ لتكون بالنص الآتي ""إذا كان العقد غير محدد المدة، جاز لأي من طرفيه إنهاؤه بناءً على سبب مشروع يجب بيانه بموجب إشعار يوجه إلى الطرف الآخر كتابةً قبل الإنهاء بمدة تحدد في العقد، على ألا تقل عن ستين يوماً إذا كان أجر العامل يدفع شهريًّا، ولا تقل عن ثلاثين يوماً بالنسبة إلى غيره"".",0.012987012987012988,0.05555555555555555,0.016666666666666666,20,69,,,,,
الثامنة والسبعون,اذكر أربعة من الجزاءات التأديبية التي يجوز لصاحب العمل توقيعها على العامل؟,1- الإنذار. 2- الغرامة. 3- الحرمان من العلاوة أو تأجيلها لمدة لا تزيد على سنة. 4- تأجيل الترقية مدة لا تزيد على سنة. 5- الإيقاف عن العمل مع الحرمان من الأجر. 6- الفصل من العمل في الحالات المقررة في النظام.,الثامنة والسبعون,المادة الثامنة والسبعون ,"تم إلغاء نص هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ وإحلال النص الآتي محله ""إذا كان الإشعار من جانب صاحب العمل، فيحق للعامل أن يتغيب خلال مهلة الإشعار يوماً كاملاً في الأسبوع أو ثماني ساعات أثناء الأسبوع، وذلك للبحث عن عمل آخر مع استحقاقه لأجر هذا اليوم أو ساعات الغياب. ويكون للعامل تحديد يوم الغياب وساعاته بشرط أن يُشعر صاحب العمل بذلك في اليوم السابق للغياب على الأقل. ولصاحب العمل أن يعفي العامل من العمل أثناء مهلة الإشعار مع احتساب مدة خدمته مستمرة إلى حين انتهاء تلك المهلة، والتزام صاحب العمل بما يترتب على ذلك من آثار وبخاصة استحقاق العامل أجره عن مهلة الإشعار"".",المادة الثامنة والسبعون ,"تم إلغاء نص هذه المادة بموجب المرسوم الملكي رقم ( م/ 46) وتاريخ 5 / 6 / 1436 هـ ؛ وإحلال النص الآتي محله ""إذا كان الإشعار من جانب صاحب العمل، فيحق للعامل أن يتغيب خلال مهلة الإشعار يوماً كاملاً في الأسبوع أو ثماني ساعات أثناء الأسبوع، وذلك للبحث عن عمل آخر مع استحقاقه لأجر هذا اليوم أو ساعات الغياب. ويكون للعامل تحديد يوم الغياب وساعاته بشرط أن يُشعر صاحب العمل بذلك في اليوم السابق للغياب على الأقل. ولصاحب العمل أن يعفي العامل من العمل أثناء مهلة الإشعار مع احتساب مدة خدمته مستمرة إلى حين انتهاء تلك المهلة، والتزام صاحب العمل بما يترتب على ذلك من آثار وبخاصة استحقاق العامل أجره عن مهلة الإشعار"".",0.09523809523809523,0.3225806451612903,0.11904761904761904,40,111,0,,,,إحالة خاطئة: المادة الصحيحة للّغة هي التاسعة.
